"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","ORtg","DRtg","Yr"
"1","Shareef Abdur-Rahim","PF","28","POR","54","49","1867","9.6","19.2","0.503","0.4","1.1","0.385","9.2","18.1","0.51","6.3","7.3","0.866","3.5","7.7","11.2","3.2","1.4","0.7","3.3","4.3","26","113","108",2005
"2","Cory Alexander","SG","31","CHA","16","1","201","4.1","12.7","0.327","2.1","4.9","0.421","2.1","7.8","0.267","2.3","3.1","0.75","2.1","5.4","7.5","9.6","2.3","0.3","4.9","7.5","12.7","91","108",2005
"3","Malik Allen","PF","26","TOT","36","1","519","8.5","17.9","0.475","0","0","0","8.5","17.9","0.475","2.6","2.8","0.929","4","6","10","1.8","0.9","2.2","1.8","5.4","19.6","108","106",2005
"4","Ray Allen*","SG","29","SEA","78","78","3064","11.4","26.6","0.428","3.7","9.9","0.376","7.7","16.7","0.459","6.7","7.6","0.883","1.4","4.8","6.2","5.2","1.5","0.1","3","3","33.3","117","112",2005
"5","Tony Allen","SG","23","BOS","77","34","1262","7.5","15.8","0.475","0.5","1.3","0.387","7","14.5","0.483","4.6","6.2","0.737","3.5","5.5","9","2.6","3.1","1","3.1","6.4","20.1","106","104",2005
"6","Rafer Alston","PG","28","TOR","80","78","2717","7.7","18.6","0.414","2.6","7.4","0.357","5","11.2","0.451","3.6","4.9","0.74","0.8","4.5","5.3","9.8","2.2","0.1","3.2","4","21.7","108","109",2005
"7","Chris Andersen","C","26","NOH","67","2","1430","7.3","13.7","0.534","0","0.1","0","7.3","13.6","0.538","5","7.3","0.689","5.3","10.5","15.7","2.7","0.5","3.8","2.5","5.5","19.7","116","104",2005
"8","Derek Anderson","SG","30","POR","47","32","1239","6.6","16.9","0.389","2.5","6.5","0.384","4.1","10.4","0.392","3","3.8","0.805","1.1","4.4","5.5","6.2","1.6","0.2","3","3.8","18.6","103","111",2005
"9","Kenny Anderson","PG","34","TOT","43","20","743","6","14.2","0.423","0.4","0.9","0.462","5.6","13.3","0.42","1.9","2.6","0.73","1.7","4.5","6.2","7.3","2.3","0","3.5","6.2","14.4","96","112",2005
"10","Shandon Anderson","SF-SG","31","TOT","66","5","1171","4.4","9.8","0.452","0.2","1.3","0.172","4.2","8.5","0.495","2.4","3","0.818","1.9","6.8","8.6","3.2","1.8","0.6","2.3","6.2","11.5","103","103",2005
"11","Carmelo Anthony","SF","20","DEN","75","75","2608","10.4","24.2","0.431","0.8","3.1","0.266","9.6","21.1","0.455","9","11.3","0.796","2.8","5.6","8.4","3.8","1.3","0.6","4.4","4.5","30.7","103","107",2005
"12","Rafael Araújo","C","24","TOR","59","41","736","5.3","12.3","0.434","0.1","0.2","0.333","5.3","12.1","0.436","3","3.9","0.782","4.2","8.9","13","1.1","1.5","0.6","3.7","11","13.8","92","107",2005
"13","Gilbert Arenas","PG","23","WAS","80","80","3274","10.3","23.9","0.431","3.2","8.8","0.365","7.1","15.1","0.469","8.2","10.1","0.814","1.3","4.6","5.9","6.5","2.2","0.4","3.8","3.8","32","115","109",2005
