"","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Yr"
"1","Kareem Abdul-Jabbar*","C","33","LAL","80","2976","25.5","0.616","0.001","0.379","7.6","21.5","15","13.6","0.9","4","12.8","26.3","9.6","4.6","14.3","0.23","4.7","1.4","6.1","6.1",1981
"2","Tom Abernethy","SF","26","TOT","39","298","8","0.459","0.017","0.373","7.1","10.6","8.8","8","1.1","0.6","10.4","10.3","0.2","0.2","0.4","0.062","-2.2","-0.4","-2.6","0",1981
"3","Alvan Adams","C","26","PHO","75","2054","20.3","0.567","0","0.298","8.6","20.5","14.7","24.5","2.4","1.9","18.7","23","3.3","4.5","7.7","0.18","2.5","2.6","5.1","3.7",1981
"4","Darrell Allums","PF","22","DAL","22","276","5.3","0.385","0.015","0.328","7.6","19.7","13.4","12.5","0.9","1.7","23.1","15.1","-0.5","0.2","-0.3","-0.054","-5.5","-0.1","-5.6","-0.3",1981
"5","Tiny Archibald*","PG","32","BOS","80","2820","14.3","0.582","0.012","0.547","1.5","5.4","3.6","28.5","1.3","0.4","21.8","17.5","4.6","2.3","6.9","0.118","0.9","-1","-0.1","1.4",1981
"6","Dennis Awtrey","C","32","SEA","47","607","6.7","0.501","0","0.215","6.1","13.3","9.8","11.5","0.9","0.7","24.5","9","0","0.6","0.6","0.047","-3.2","0.7","-2.5","-0.1",1981
"7","James Bailey","PF","23","SEA","82","2539","14.5","0.546","0.002","0.406","8.5","17.6","13.1","5.8","1.4","3.1","17.3","20.3","1.4","3.6","4.9","0.094","-1.7","0.6","-1.1","0.6",1981
"8","Greg Ballard","SF","26","WSB","82","2610","16.7","0.5","0.027","0.165","6.7","16.8","11.7","10.9","2.1","0.8","8.4","21.4","2.8","4.1","6.9","0.127","0.8","1.4","2.2","2.8",1981
"9","Mike Bantom","SF","29","IND","76","2375","14.5","0.528","0.007","0.319","6.7","13.1","9.8","14.4","1.6","2","16.4","20.3","1.8","2.5","4.4","0.088","-0.2","0.1","-0.1","1.2",1981
"10","Billy Ray Bates","SG","24","POR","77","1560","19.3","0.537","0.06","0.221","4.9","6","5.5","19","2.4","0.2","13.1","28.9","2.4","1.2","3.6","0.111","2.3","-0.9","1.3","1.3",1981
"11","Mel Bennett","PF","26","UTA","28","313","10.7","0.549","0.033","1.35","12.2","21.7","17","6.3","0.5","2","24.5","17.4","0.1","0.2","0.3","0.045","-3.7","-1.2","-5","-0.3",1981
"12","Kent Benson","C","26","DET","59","1956","15.1","0.524","0.005","0.33","7","17.4","11.9","13.9","1.7","2","17.7","22.2","0.6","2.5","3.1","0.075","-0.3","0.4","0.1","1",1981
"13","Henry Bibby","PG","31","SDC","73","1112","10.6","0.48","0.31","0.32","2.5","5.4","3.9","23.2","2","0.1","17.9","15.6","0.5","0.5","1","0.043","-1","-0.9","-1.9","0",1981
"14","Larry Bird*","PF","24","BOS","82","3239","19.9","0.528","0.049","0.218","7","23.8","15.7","20.4","2.4","1.1","14.9","24.3","4.7","6.1","10.8","0.16","2.5","1.8","4.3","5.2",1981
"15","Otis Birdsong","SG","25","KCK","71","2593","20.3","0.58","0.027","0.348","5.1","5.9","5.5","14.3","1.7","0.4","10.3","26.8","6.2","2","8.2","0.152","3.3","-0.8","2.4","2.9",1981
"16","Norman Black","SG","23","DET","3","28","1.9","0.296","0","0.8","0","8.8","4.2","10","1.7","0","6.9","21","-0.1","0","-0.1","-0.133","-4.7","-0.3","-5","-0.1",1981
"17","Ron Boone","SG","34","UTA","52","1146","9","0.492","0.105","0.253","1.7","6.6","4.2","19.9","1.4","0.4","21.2","19.7","-0.8","0.2","-0.6","-0.025","-3.2","-2.1","-5.2","-0.9",1981
"18","Winford Boynes","SG","23","DAL","44","757","6.1","0.426","0","0.176","3.5","8","5.6","7.5","1.5","1.2","17","22.4","-1.6","0.2","-1.4","-0.091","-5.3","-2","-7.3","-1",1981
"19","Dudley Bradley","SG","23","IND","82","1867","13.7","0.515","0.029","0.318","4","7.4","5.6","13.6","4.7","1.1","16.1","16.3","1","2.9","3.9","0.1","-1.8","3.4","1.6","1.7",1981
"20","Mike Bratz","PG","25","CLE","80","2595","11.5","0.458","0.207","0.162","2.7","5.9","4.2","22.4","2.5","0.4","15.6","16.1","0.7","1.4","2.1","0.038","-1.2","0","-1.2","0.5",1981
"21","Jim Brewer","PF","29","LAL","78","1107","10.6","0.506","0.01","0.203","13.2","14.2","13.8","5.8","1.8","2.8","18.3","9.5","0.7","1.5","2.2","0.097","-1.6","1.1","-0.5","0.4",1981
"22","Ron Brewer","SG","25","TOT","75","1452","12","0.471","0.011","0.181","2.6","3.8","3.2","14","2","1.3","11.9","21.1","0.4","1","1.4","0.046","-1.4","-0.8","-2.2","-0.1",1981
"23","Junior Bridgeman","SF","27","MIL","77","2215","17.1","0.534","0.019","0.219","4","10.2","7.2","15.1","1.8","0.7","11","24","3.9","2.8","6.7","0.146","1.3","-0.2","1.1","1.7",1981
"24","Allan Bristow","SF","29","UTA","82","2001","14.9","0.511","0.029","0.324","6","18.5","12.3","27","1.5","0.1","19.7","18.7","1.4","1.3","2.7","0.065","0.3","-0.5","-0.2","0.9",1981
"25","Dave Britton","PG","22","WSB","2","9","18","0.667","0","0","0","23.5","11.7","49.4","5.2","0","40","22.3","0","0","0","0.093","-4.4","0.4","-4","0",1981
"26","Michael Brooks","SF","22","SDC","82","2479","15.8","0.519","0.006","0.314","9.4","11.4","10.4","12.3","1.9","0.7","12.3","21.7","3.2","1.7","4.9","0.095","0.9","-0.9","0","1.2",1981
"27","Fred Brown","SG","32","SEA","78","1986","18.3","0.535","0.062","0.201","3","6.6","4.8","19.9","2.1","0.4","10.4","25.8","3.5","1.8","5.2","0.127","2.1","-0.1","2","2",1981
"28","Lewis Brown","C","25","WSB","2","5","-18.6","0.192","0","1.667","20.9","21.2","21","0","0","0","16.1","49.8","-0.1","0","-0.1","-0.667","-5.3","-0.4","-5.7","0",1981
