"","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Yr"
"1","Alaa Abdelnaby","PF","24","TOT","75","1311","13.2","0.551","0.002","0.245","11","18.1","14.6","3","1","1.2","15.6","20.5","0.7","1.3","2","0.074","-2.4","-1.5","-3.9","-0.6",1993
"2","Mahmoud Abdul-Rauf","PG","23","DEN","81","2710","15.6","0.515","0.14","0.165","2","6.8","4.4","20.8","1.5","0.2","11","25.5","3","2.2","5.1","0.091","0.9","-1.1","-0.1","1.3",1993
"3","Mark Acres","C","30","TOT","18","269","8.9","0.571","0.041","0.327","10.8","17.4","14","2.5","0.5","1.4","18.8","11","0.1","0.2","0.3","0.056","-3.7","-1.6","-5.3","-0.2",1993
"4","Michael Adams","PG","30","WSB","70","2499","15.6","0.543","0.255","0.333","2.3","8.6","5.4","30.6","2","0.1","15.5","19.2","3.3","1.2","4.6","0.088","0.9","-0.9","0","1.3",1993
"5","Rafael Addison","SF","28","NJN","68","1164","8.4","0.484","0.083","0.17","4.2","8.2","6.2","6.8","1","0.6","12.7","18.2","-0.1","1","0.9","0.038","-3.9","-0.9","-4.8","-0.8",1993
"6","Mark Aguirre","SF","33","DET","51","1056","13.7","0.525","0.197","0.306","4.3","12","8","15.3","0.8","0.4","12.4","22.2","1.1","0.7","1.8","0.082","0.3","-0.5","-0.2","0.5",1993
"7","Danny Ainge","SG","33","PHO","80","2163","14.3","0.596","0.51","0.199","2.6","8.3","5.5","16.5","1.5","0.2","12.5","17.3","4.5","1.8","6.2","0.139","1.8","-0.3","1.4","1.9",1993
"8","Victor Alexander","C","23","GSW","72","1753","14.3","0.548","0.033","0.243","8.4","18.4","13.4","7.8","0.9","1.9","14","20","1.6","1.4","3","0.083","-1","-0.6","-1.6","0.2",1993
"9","Eric Anderson","PF","22","NYK","16","44","11.3","0.443","0","0.722","15.6","19.6","17.7","9.9","3.5","1.5","17.4","28.2","0","0.1","0.1","0.091","-7.6","2","-5.6","0",1993
"10","Kenny Anderson","PG","22","NJN","55","2010","16.6","0.487","0.029","0.273","2.8","9.5","6.1","34.7","2.4","0.3","13.8","23.1","1.9","2.5","4.4","0.106","1.1","0.5","1.6","1.8",1993
"11","Nick Anderson","SG","25","ORL","79","2920","17.3","0.524","0.188","0.304","5","13","9.2","14.7","2.2","1.2","9.9","24.5","4","3.7","7.7","0.126","2","0.8","2.8","3.5",1993
"12","Ron Anderson","SF","34","PHI","69","1263","11.8","0.481","0.221","0.164","5.3","10.4","7.9","11.7","1.2","0.2","9.7","21.6","0","0.5","0.5","0.019","-1.4","-2.3","-3.7","-0.5",1993
"13","Willie Anderson","SG","26","SAS","38","560","8.7","0.461","0.043","0.151","1.5","9.8","5.8","20.4","1.3","0.7","18.2","19","-0.6","0.5","-0.1","-0.007","-3.9","-0.9","-4.7","-0.4",1993
"14","Greg Anthony","PG","25","NYK","70","1699","13.7","0.469","0.072","0.379","2.8","8.1","5.6","33.3","3.4","0.5","17.5","15.1","1","3.6","4.6","0.131","-0.6","3.3","2.7","2",1993
"15","B.J. Armstrong","PG","25","CHI","82","2492","14.7","0.57","0.17","0.185","1.2","5.8","3.4","18.6","1.4","0.2","8.6","16.8","5.7","1.7","7.5","0.144","0.8","-0.6","0.2","1.4",1993
"16","Vincent Askew","SG","26","TOT","73","1129","13.1","0.549","0.019","0.482","6.3","10.4","8.3","14.6","1.8","1.1","15.6","16.5","1.5","1.2","2.7","0.114","-0.5","0.3","-0.2","0.5",1993
"17","Keith Askins","SF","25","MIA","69","935","9.3","0.492","0.305","0.188","8.9","15.5","12.1","4.8","1.7","2.1","13.8","12.4","0.4","1","1.4","0.072","-2.6","0.6","-2","0",1993
"18","Stacey Augmon","SG","24","ATL","73","2112","15.2","0.551","0.005","0.388","7.2","8","7.6","12.1","2.1","0.5","14.5","21.2","2.5","1.2","3.7","0.084","0.2","-0.6","-0.4","0.8",1993
"19","Isaac Austin","C","23","UTA","46","306","11.4","0.491","0.009","0.393","14.6","14.8","14.7","2.9","1.3","2.9","14.9","21.7","0","0.4","0.3","0.052","-4.6","-1.4","-6","-0.3",1993
