"","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Yr"
"1","Kareem Abdul-Jabbar*","C","34","LAL","76","2677","23.4","0.608","0.002","0.34","7.3","19.1","13.4","11.9","1.1","4.1","13.3","25.6","6.9","3.9","10.7","0.192","3.8","1.2","5","4.7",1982
"2","Alvan Adams","C","27","PHO","79","2393","18.6","0.529","0.001","0.227","6.6","20.2","13.6","22.1","2.3","1.9","14.8","22.8","2.5","4.7","7.2","0.144","1.4","2.2","3.6","3.4",1982
"3","Mark Aguirre","SF","22","DAL","51","1468","17.3","0.514","0.087","0.301","6.7","12.9","9.7","18.6","1.2","0.9","12.7","29.8","1","0.8","1.9","0.061","2.3","-1.6","0.7","1",1982
"4","Danny Ainge","SG","22","BOS","53","564","10.1","0.439","0.077","0.294","5","5.9","5.5","19.7","3.1","0.3","17.5","21.5","-0.3","0.8","0.5","0.042","-3.7","1","-2.7","-0.1",1982
"5","Tiny Archibald*","PG","33","BOS","68","2167","14.3","0.542","0.025","0.485","1.3","4.5","2.9","31.9","1.1","0.1","18.4","17.9","3.4","1.8","5.2","0.115","1.4","-1.3","0.1","1.1",1982
"6","Dennis Awtrey","C","33","POR","10","121","1.6","0.396","0","0.6","6.5","6.4","6.5","7.5","0.4","0.9","24","8.5","-0.1","0","0","-0.013","-4.8","-0.3","-5.1","-0.1",1982
"7","Carl Bailey","C","23","POR","1","7","-6.8","1","0","0","0","0","0","0","0","0","66.7","17.6","0","0","0","-0.268","-5","-0.1","-5.1","0",1982
"8","James Bailey","PF","24","TOT","77","1468","13.3","0.546","0","0.444","9.7","20.3","15","6.3","1.3","3.3","18.7","20.3","0.2","2.7","2.9","0.094","-3","1","-2","0",1982
"9","Greg Ballard","SF","27","WSB","79","2946","17.9","0.519","0.017","0.217","5.1","18.1","11.7","13.1","2.2","0.4","7.7","22","4.1","5.3","9.4","0.154","1.5","1.7","3.2","3.9",1982
"10","Gene Banks","SF","22","SAS","80","1700","14.7","0.515","0.012","0.325","9.9","16","13","11.5","1.5","0.5","12.5","19.9","1.9","1.6","3.5","0.099","0","-0.7","-0.7","0.6",1982
"11","Mike Bantom","SF","30","TOT","82","2016","12.7","0.505","0.008","0.375","9.7","14.4","12.1","8.1","1.5","1.7","15.2","20.2","0.2","2.7","2.9","0.069","-2","-0.3","-2.3","-0.1",1982
"12","Billy Ray Bates","SG","25","POR","75","1229","17.8","0.53","0.059","0.305","4.9","5","4.9","13.9","1.6","0.2","10.6","29.4","1.8","0.6","2.4","0.094","1.5","-2","-0.5","0.5",1982
"13","Mel Bennett","PF","27","CLE","3","23","-2.7","0.377","0","1.5","4.6","10.5","7.4","0","2.1","0","37.6","19.1","-0.1","0","-0.1","-0.27","-5","-0.4","-5.5","-0.1",1982
"14","Kent Benson","C","27","DET","75","2467","14.4","0.539","0.014","0.197","9.4","19.9","14.5","8.8","1.2","2.2","15.5","16.3","2.2","3","5.2","0.101","0","0.4","0.4","1.5",1982
"15","Larry Bird*","PF","25","BOS","77","2923","22.6","0.557","0.037","0.269","7.7","23.4","15.8","22.5","2.3","1.2","13.8","25.2","6.8","5.7","12.5","0.205","4.4","2.3","6.6","6.4",1982
"16","Otis Birdsong","SG","26","NJN","37","1025","13.3","0.489","0.021","0.265","3.3","7.5","5.3","18.2","1.4","0.3","10.7","23.4","0.5","1.1","1.6","0.074","-0.5","-0.7","-1.2","0.2",1982
"17","Rolando Blackman","SG","22","DAL","82","1979","16.2","0.559","0.005","0.323","5.4","9.4","7.3","8.3","1.1","0.9","10.4","22.7","3.2","0.8","4.1","0.098","1.8","-1.6","0.2","1.1",1982
"18","Ray Blume","SG","23","CHI","49","546","9.7","0.482","0.081","0.126","3","5.4","4.3","18.9","2","0.2","18.7","22.1","-0.5","0.3","-0.1","-0.013","-3.3","-1.2","-4.5","-0.3",1982
"19","Alex Bradley","SF","22","NYK","39","331","12.4","0.552","0.01","0.466","10.5","12","11.2","4.6","1.7","0.9","18.4","18.9","0.1","0.3","0.4","0.053","-1.6","-1","-2.6","0",1982
"20","Charles Bradley","SG","22","BOS","51","339","8.9","0.509","0.008","0.508","4","8.2","6.2","8.5","2","1","19.9","22","-0.2","0.4","0.2","0.03","-4.7","0.2","-4.5","-0.2",1982
"21","Dudley Bradley","SG","24","PHO","64","937","10.9","0.5","0.014","0.356","3.6","6.6","5.1","11.4","4","0.6","17.9","17.4","-0.3","1.7","1.4","0.071","-3.7","2.6","-1.1","0.2",1982
"22","Brad Branson","PF","23","CLE","10","176","8.4","0.463","0","0.231","8.5","13","10.6","4.6","1.4","1.3","18.5","16.5","-0.1","0.1","-0.1","-0.016","-3.1","-0.8","-3.9","-0.1",1982
"23","Mike Bratz","PG","26","SAS","81","1616","14.2","0.495","0.244","0.269","2.7","8.4","5.5","34.2","1.9","0.4","18","19","1.5","1.2","2.7","0.081","0.6","-1","-0.3","0.7",1982
"24","Jim Brewer","PF","30","LAL","71","966","10.1","0.464","0.034","0.109","12.4","17.2","14.9","4.8","1.9","2.5","16.8","9.1","0.4","1.4","1.8","0.088","-1.8","1","-0.8","0.3",1982
"25","Ron Brewer","SG","26","TOT","72","2319","15.9","0.519","0.026","0.218","2.5","5.3","3.9","12.8","1.7","0.7","8.7","25.2","2.6","0.7","3.3","0.068","0.8","-1.1","-0.2","1",1982
"26","Junior Bridgeman","SF","28","MIL","41","924","16","0.534","0.021","0.238","4.8","10.5","7.8","17.6","1.5","0.2","11.8","24.1","1.4","1.2","2.6","0.136","0.7","-0.5","0.3","0.5",1982
"27","Allan Bristow","SF","30","DAL","82","2035","12.6","0.502","0.036","0.329","6.5","12.8","9.5","29.3","1.6","0.2","22.4","14.9","1.3","1.2","2.5","0.059","-0.3","-0.2","-0.5","0.8",1982
"28","Jim Brogan","SG","23","SDC","63","1027","13","0.499","0.088","0.231","6.9","7","7","20.6","2.3","0.7","17.2","19.2","0.6","0.2","0.8","0.035","-0.2","-0.8","-1","0.3",1982
"29","Michael Brooks","SF","23","SDC","82","2750","16.1","0.539","0.007","0.25","8.7","18.6","13.5","12.2","1.9","0.8","14.3","20.4","3.4","1.2","4.5","0.079","1","-0.7","0.2","1.5",1982
"30","Fred Brown","SG","33","SEA","82","1785","15.2","0.501","0.089","0.149","2.6","5.8","4.3","20.1","1.9","0.1","9.5","23.6","1.7","2.2","3.9","0.104","0.3","-0.2","0.1","0.9",1982
"31","Rickey Brown","C","23","GSW","82","1260","11.2","0.498","0","0.292","11.6","20.1","15.8","2","1.4","1.3","15.1","17.8","0.4","1.4","1.8","0.068","-3.5","-1","-4.6","-0.8",1982
"32","Joe Bryant","SF","27","SDC","75","1988","12.8","0.546","0.043","0.352","4.6","12","8.2","13.1","1.9","0.8","18.4","20.3","1","0.5","1.5","0.036","-1","-0.9","-2","0",1982
"33","Quinn Buckner","PG","27","MIL","70","2156","14.4","0.506","0.018","0.204","4.3","8.9","6.6","21.4","3.9","0.1","16.7","20.5","0.7","3.9","4.6","0.103","-1.2","2.1","0.9","1.6",1982
"34","Roger Burkman","SG","23","CHI","6","30","15.5","0.377","0.25","1.5","7.9","14.5","11.3","19.7","9.7","3.7","31.1","13.5","0","0.1","0.1","0.093","-3.9","2","-2","0.1",1982
"35","David Burns","PG","23","TOT","9","87","3.6","0.509","0","0.938","1.3","5","3.1","19.5","1.5","0","36.5","15.8","-0.2","0","-0.1","-0.071","-4.5","-0.5","-5","-0.1",1982
"36","Don Buse","PG","31","IND","82","2529","14.8","0.539","0.276","0.18","1.9","7.8","4.8","22.5","3.2","0.6","11.4","13.7","3.7","3.4","7.1","0.135","0.3","2.3","2.6","2.9",1982
"37","Kenny Carr","PF","26","TOT","74","1926","14.7","0.543","0.014","0.436","9.2","22.4","15.5","6.5","1.6","0.6","15.6","20.6","1.3","1.6","2.9","0.073","-1","-0.8","-1.9","0.1",1982
"38","M.L. Carr","SF","31","BOS","56","1296","11.9","0.495","0.042","0.284","4.9","7.8","6.4","12.6","2.4","0.9","12","16.2","1","1.8","2.8","0.103","-1.2","1.8","0.5","0.8",1982
"39","Joe Barry Carroll","C","23","GSW","76","2627","15.9","0.557","0.001","0.318","8.6","17.9","13.1","3.4","1.2","2.7","15.1","20.9","2.6","2.9","5.5","0.1","-0.4","-0.4","-0.8","0.8",1982
"40","Butch Carter","SG","23","IND","75","1035","11.1","0.511","0.062","0.174","3.1","5.3","4.1","8.8","1.6","0.6","11.1","19.6","0.3","0.9","1.3","0.059","-2.3","-0.3","-2.6","-0.2",1982
"41","Reggie Carter","SG","24","NYK","75","923","9.4","0.479","0","0.286","4.3","7.6","5.9","18.5","1.9","0.4","19.8","17.6","-0.3","0.6","0.3","0.016","-3.1","-0.4","-3.5","-0.3",1982
"42","Bill Cartwright","C","24","NYK","72","2060","16.3","0.616","0","0.486","6.3","17.3","11.7","6","1.1","1.8","16.5","20.2","3.2","1.8","5","0.116","0.4","-0.4","0","1.1",1982
"43","Harvey Catchings","PF","30","MIL","80","1603","8.1","0.45","0","0.308","9.6","15.6","12.7","7.2","1.3","4.8","27","8.9","-0.6","3","2.3","0.07","-3.2","2.8","-0.4","0.6",1982
"44","Bobby Cattage","PF","23","UTA","49","337","10.5","0.49","0.015","0.304","6.9","16.6","11.6","2.8","1","0","10.5","20.3","0.1","0.1","0.2","0.028","-3.8","-2.4","-6.2","-0.4",1982
"45","Tom Chambers","PF","22","SDC","81","2682","15","0.553","0.002","0.434","9.1","16","12.5","7.9","1","1","14.9","22.4","2.9","0.4","3.3","0.059","-0.2","-2","-2.2","-0.1",1982
"46","Maurice Cheeks*","PG","25","PHI","79","2498","18.3","0.57","0.033","0.325","2.4","8.5","5.6","34.7","4","0.8","19.2","16","4.6","4","8.6","0.166","1.8","2.4","4.2","3.9",1982
"47","Jim Chones","C","32","WSB","59","867","8.6","0.481","0","0.269","5","18.1","11.7","9.6","0.8","2.1","17.7","11.2","0","1.4","1.4","0.076","-3.1","2.2","-0.9","0.2",1982
"48","Don Collins","SG","23","WSB","79","1609","15.1","0.543","0.018","0.259","7","6.3","6.7","14.2","2.7","0.8","15.7","22.4","0.9","2.5","3.4","0.101","-0.3","1.6","1.3","1.3",1982
